algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount
cnvkit	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.0625	0.005219206680584551	0.009633911368015413	1	15	16	10	1906	1916
cnvkit	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.0	0.0	NaN	0	16	16	0	318	318
cnvkit	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.13333333333333333	0.006784968684759917	0.01291283834119692	2	13	15	13	1903	1916
cnvkit	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.06666666666666667	0.006289308176100629	0.01149425287356322	1	14	15	2	316	318
cnvkit	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.16666666666666666	0.006784968684759917	0.013039117352056168	2	10	12	13	1903	1916
cnvkit	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.08333333333333333	0.006289308176100629	0.011695906432748539	1	11	12	2	316	318
cnvkit	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.07692307692307693	0.005219206680584551	0.009775171065493646	1	12	13	10	1906	1916
cnvkit	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.0	0.0	NaN	0	13	13	0	318	318
cnvkit	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.18181818181818182	0.006784968684759917	0.013081761006289308	2	9	11	13	1903	1916
cnvkit	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.09090909090909091	0.006289308176100629	0.011764705882352943	1	10	11	2	316	318
cnvkit	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.14285714285714285	0.010438413361169102	0.019455252918287938	2	12	14	20	1896	1916
cnvkit	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.07142857142857142	0.031446540880503145	0.043668122270742356	1	13	14	10	308	318
cnvkit	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.2	0.0013117621337997377	0.0026064291920069507	1	4	5	3	2284	2287
cnvkit	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.2	0.006042296072507553	0.011730205278592374	1	4	5	2	329	331
cnvkit	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	4	4	0	2287	2287
cnvkit	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.0	0.0	NaN	0	4	4	0	331	331
cnvkit	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	6	6	0	2287	2287
cnvkit	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.0	0.0	NaN	0	6	6	0	331	331
cnmops	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.013392857142857142	0.01505856107083101	0.01417694933053295	3	221	224	27	1766	1793
cnmops	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.0	0.0	NaN	0	224	224	0	267	267
cnmops	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.13636363636363635	0.008365867261572783	0.015764582238570676	3	19	22	15	1778	1793
cnmops	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.045454545454545456	0.00749063670411985	0.012861736334405146	1	21	22	2	265	267
cnmops	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.10714285714285714	0.008365867261572783	0.015519917227108123	3	25	28	15	1778	1793
cnmops	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.03571428571428571	0.00749063670411985	0.01238390092879257	1	27	28	2	265	267
cnmops	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.012396694214876033	0.016731734523145567	0.014241633040588656	3	239	242	30	1763	1793
cnmops	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	242	242	0	267	267
cnmops	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.0625	0.005577244841048522	0.010240655401945725	2	30	32	10	1783	1793
cnmops	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.0	0.0	NaN	0	32	32	0	267	267
cnmops	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.013392857142857142	0.013385387618516454	0.013389121338912135	3	221	224	24	1769	1793
cnmops	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.0	0.0	NaN	0	224	224	0	267	267
cnmops	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.03125	0.005219206680584551	0.008944543828264758	1	31	32	10	1906	1916
cnmops	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.03125	0.031446540880503145	0.031347962382445145	1	31	32	10	308	318
cnmops	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.06896551724137931	0.008872651356993737	0.015722543352601155	2	27	29	17	1899	1916
cnmops	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.06896551724137931	0.05660377358490566	0.0621761658031088	2	27	29	18	300	318
cnmops	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.1	0.014091858037578288	0.024702653247941443	3	27	30	27	1889	1916
cnmops	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.06666666666666667	0.05660377358490566	0.061224489795918366	2	28	30	18	300	318
cnmops	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.030303030303030304	0.005219206680584551	0.008904719501335707	1	32	33	10	1906	1916
cnmops	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.030303030303030304	0.031446540880503145	0.0308641975308642	1	32	33	10	308	318
cnmops	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.13157894736842105	0.017745302713987474	0.031272994849153794	5	33	38	34	1882	1916
cnmops	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.07894736842105263	0.06289308176100629	0.07001166861143523	3	35	38	20	298	318
cnmops	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.14634146341463414	0.022964509394572025	0.03969924812030075	6	35	41	44	1872	1916
cnmops	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.04878048780487805	0.03773584905660377	0.0425531914893617	2	39	41	12	306	318
cnmops	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.06818181818181818	0.009619588981198076	0.016860390854515264	3	41	44	22	2265	2287
cnmops	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.045454545454545456	0.03625377643504532	0.040336134453781515	2	42	44	12	319	331
cnmops	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.06818181818181818	0.009619588981198076	0.016860390854515264	3	41	44	22	2265	2287
cnmops	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.045454545454545456	0.03625377643504532	0.040336134453781515	2	42	44	12	319	331
cnmops	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.09803921568627451	0.014429383471797114	0.025156273822228997	5	46	51	33	2254	2287
cnmops	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.0196078431372549	0.030211480362537766	0.023781212841854936	1	50	51	10	321	331
contra	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.004918032786885246	0.005577244841048522	0.005226936144263438	3	607	610	10	1783	1793
contra	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.003278688524590164	0.011235955056179775	0.005076142131979695	2	608	610	3	264	267
contra	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.018617021276595744	0.008923591745677636	0.012064415360585987	7	369	376	16	1777	1793
contra	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.010638297872340425	0.056179775280898875	0.017889087656529516	4	372	376	15	252	267
contra	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.0196078431372549	0.008923591745677636	0.012265235722499043	7	350	357	16	1777	1793
contra	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.011204481792717087	0.056179775280898875	0.018682858477347034	4	353	357	15	252	267
contra	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.006201550387596899	0.005577244841048522	0.005872852738217589	4	641	645	10	1783	1793
contra	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.0031007751937984496	0.011235955056179775	0.004860267314702309	2	643	645	3	264	267
contra	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.019444444444444445	0.008923591745677636	0.012233083938616131	7	353	360	16	1777	1793
contra	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.011111111111111112	0.056179775280898875	0.01855287569573284	4	356	360	15	252	267
contra	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.00482315112540193	0.005577244841048522	0.0051728597292870085	3	619	622	10	1783	1793
contra	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.003215434083601286	0.011235955056179775	0.005	2	620	622	3	264	267
contra	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.06578947368421052	0.006263048016701462	0.01143728555089592	5	71	76	12	1904	1916
contra	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.02631578947368421	0.009433962264150943	0.01388888888888889	2	74	76	3	315	318
contra	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.0821917808219178	0.006784968684759917	0.012535154680594617	6	67	73	13	1903	1916
contra	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.0273972602739726	0.009433962264150943	0.014035087719298248	2	71	73	3	315	318
contra	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.08450704225352113	0.006784968684759917	0.012561397858120622	6	65	71	13	1903	1916
contra	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.028169014084507043	0.009433962264150943	0.014134275618374556	2	69	71	3	315	318
contra	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.06493506493506493	0.006263048016701462	0.011424219345011423	5	72	77	12	1904	1916
contra	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.025974025974025976	0.009433962264150943	0.013840830449826988	2	75	77	3	315	318
contra	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.08450704225352113	0.006784968684759917	0.012561397858120622	6	65	71	13	1903	1916
contra	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.028169014084507043	0.009433962264150943	0.014134275618374556	2	69	71	3	315	318
contra	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.07894736842105263	0.006784968684759917	0.012495994873438	6	70	76	13	1903	1916
contra	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.02631578947368421	0.009433962264150943	0.01388888888888889	2	74	76	3	315	318
contra	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.03225806451612903	0.0021862702229995625	0.004095004095004095	4	120	124	5	2282	2287
contra	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.008064516129032258	0.006042296072507553	0.0069084628670120895	1	123	124	2	329	331
contra	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.031746031746031744	0.0021862702229995625	0.0040908161178155045	4	122	126	5	2282	2287
contra	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.007936507936507936	0.006042296072507553	0.00686106346483705	1	125	126	2	329	331
contra	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.03418803418803419	0.0021862702229995625	0.0041097297852666186	4	113	117	5	2282	2287
contra	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.008547008547008548	0.006042296072507553	0.007079646017699116	1	116	117	2	329	331
manta	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.2608695652173913	0.015616285554935862	0.02946851429573759	24	68	92	28	1765	1793
manta	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.14130434782608695	0.0599250936329588	0.08415941735787982	13	79	92	16	251	267
manta	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.21621621621621623	0.011712214166201896	0.022220752595727797	16	58	74	21	1772	1793
manta	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.13513513513513514	0.04868913857677903	0.07158590308370044	10	64	74	13	254	267
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.2191780821917808	0.011712214166201896	0.02223619337546739	16	57	73	21	1772	1793
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.1506849315068493	0.052434456928838954	0.07779742359181611	11	62	73	14	253	267
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	general	0.20175438596491227	0.01505856107083101	0.028025362727621454	23	91	114	27	1766	1793
manta	IDT-V2	bowtie2-samtools-gatk4	Réplica 4	pass	0.12280701754385964	0.0599250936329588	0.08054656598345919	14	100	114	16	251	267
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 3	general	0.2523364485981308	0.018962632459564976	0.03527445291936445	27	80	107	34	1759	1793
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 3	pass	0.1308411214953271	0.06367041198501873	0.08565772899046248	14	93	107	17	250	267
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 4	general	0.19653179190751446	0.024539877300613498	0.04363169714469041	34	139	173	44	1749	1793
manta	IDT-V2	minimap2-samtools-gatk4	Réplica 4	pass	0.08670520231213873	0.06367041198501873	0.0734235531241002	15	158	173	17	250	267
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 1	general	0.47058823529411764	0.020876826722338204	0.0399800099950025	24	27	51	40	1876	1916
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 1	pass	0.3333333333333333	0.09119496855345911	0.14320987654320988	17	34	51	29	289	318
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 2	general	0.5625	0.014091858037578288	0.027494908350305502	18	14	32	27	1889	1916
manta	IDT-V1	bowtie2-picard-gatk3	Réplica 2	pass	0.40625	0.05660377358490566	0.09936305732484077	13	19	32	18	300	318
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	general	0.5588235294117647	0.014613778705636743	0.02848270692793661	19	15	34	28	1888	1916
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 2	pass	0.4117647058823529	0.059748427672955975	0.10435464888191448	14	20	34	19	299	318
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.49019607843137253	0.021920668058455117	0.04196474961032733	25	26	51	42	1874	1916
manta	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.3333333333333333	0.09119496855345911	0.14320987654320988	17	34	51	29	289	318
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.5217391304347826	0.022964509394572025	0.04399266788868522	36	33	69	44	1872	1916
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.2898550724637681	0.06918238993710692	0.11170347804011171	20	49	69	22	296	318
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.47619047619047616	0.03288100208768267	0.061514426597666365	40	44	84	63	1853	1916
manta	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.25	0.09748427672955975	0.1402714932126697	21	63	84	31	287	318
manta	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.391304347826087	0.005684302579798863	0.011205823197011782	9	14	23	13	2274	2287
manta	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.17391304347826086	0.01812688821752266	0.03283173734610123	4	19	23	6	325	331
manta	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.35	0.004809794490599038	0.009489186025016945	7	13	20	11	2276	2287
manta	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.2	0.01812688821752266	0.0332409972299169	4	16	20	6	325	331
manta	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.3787878787878788	0.012680367293397464	0.02453925434514038	25	41	66	29	2258	2287
manta	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.21212121212121213	0.045317220543806644	0.07467994310099572	14	52	66	15	316	331
